"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"1","Admiralty",0,1,0,0,0,0,0,0,0,44934,40078,85012
"2","Aljunied",1,0,0,0,0,0,0,0,0,23570,23397,46967
"3","Ang Mo Kio",0,1,0,0,0,0,0,0,0,43865,48243,92109
"4","Bakau",0,0,0,0,0,0,1,0,0,3334,3193,6527
"5","Bangkit",0,0,0,0,0,0,0,1,0,2471,2428,4898
"6","Bartley",0,0,0,1,0,0,0,0,0,9745,8407,18152
"7","Bayfront",0,0,0,1,1,0,0,0,0,28287,26906,55193
"8","Bayshore",0,0,0,0,0,0,0,0,1,3685,3674,7359
"9","Beauty World",0,0,0,0,1,0,0,0,0,16300,16047,32347
"10","Bedok",1,0,0,0,0,0,0,0,0,31830,32157,63987
"11","Bedok North",0,0,0,0,1,0,0,0,0,8758,7941,16699
"12","Bedok Reservoir",0,0,0,0,1,0,0,0,0,9910,9362,19272
"13","Bencoolen",0,0,0,0,1,0,0,0,0,9394,9394,18788
"14","Bendemeer",0,0,0,0,1,0,0,0,0,5404,5603,11008
"15","Bishan",0,1,0,1,0,0,0,0,0,37738,23830,61568
"16","Boon Keng",0,0,1,0,0,0,0,0,0,26618,24117,50735
"17","Boon Lay",1,0,0,0,0,0,0,0,0,46039,56046,102085
"18","Botanic Gardens",0,0,0,1,1,0,0,0,0,6394,6708,13102
"19","Braddell",0,1,0,0,0,0,0,0,0,15821,15131,30952
"20","Bras Basah",0,0,0,1,0,0,0,0,0,4843,5185,10028
"21","Bright Hill",0,0,0,0,0,0,0,0,1,7366,7157,14522
"22","Buangkok",0,0,1,0,0,0,0,0,0,23392,23586,46978
"23","Bugis",1,0,0,0,1,0,0,0,0,53844,55655,109499
"24","Bukit Batok",0,1,0,0,0,0,0,0,0,30038,32689,62727
"25","Bukit Gombak",0,1,0,0,0,0,0,0,0,21555,20342,41896
"26","Bukit Panjang",0,0,0,0,1,0,0,1,0,42380,44158,86538
"27","Buona Vista",1,0,0,1,0,0,0,0,0,30865,29246,60111
"28","Caldecott",0,0,0,1,0,0,0,0,1,10201,9172,19373
"29","Canberra",0,1,0,0,0,0,0,0,0,22840,20812,43652
"30","Cashew",0,0,0,0,1,0,0,0,0,4801,4258,9059
"31","Changi Airport",1,0,0,0,0,0,0,0,0,20336,17528,37864
"32","Cheng Lim",0,0,0,0,0,0,1,0,0,3355,3540,6895
"33","Chinatown",0,0,1,0,1,0,0,0,0,49568,48568,98136
"34","Chinese Garden",1,0,0,0,0,0,0,0,0,15089,13340,28429
"35","Choa Chu Kang",0,1,0,0,0,0,0,1,0,39658,43303,82961
"36","City Hall",1,1,0,0,0,0,0,0,0,44609,44881,89490
"37","Clarke Quay",0,0,1,0,0,0,0,0,0,14735,15560,30295
"38","Clementi",1,0,0,0,0,0,0,0,0,51187,53920,105107
"39","Commonwealth",1,0,0,0,0,0,0,0,0,14786,14779,29565
"40","Compassvale",0,0,0,0,0,0,1,0,0,4842,4866,9709
"41","Coral Edge",0,0,0,0,0,1,0,0,0,6535,6811,13346
"42","Cove",0,0,0,0,0,1,0,0,0,3903,3930,7833
"43","Dakota",0,0,0,1,0,0,0,0,0,7192,6466,13658
"44","Damai",0,0,0,0,0,1,0,0,0,4090,4293,8383
"45","Dhoby Ghaut",0,1,1,1,0,0,0,0,0,33126,30621,63748
"46","Dover",1,0,0,0,0,0,0,0,0,14961,15423,30384
"47","Downtown",0,0,0,0,1,0,0,0,0,23785,24666,48451
"48","Esplanade",0,0,0,1,0,0,0,0,0,6665,6400,13064
"49","Eunos",1,0,0,0,0,0,0,0,0,14734,16481,31215
"50","Expo",1,0,0,0,1,0,0,0,0,16203,16384,32587
"51","Fajar",0,0,0,0,0,0,0,1,0,3363,3395,6758
"52","Farmway",0,0,0,0,0,0,1,0,0,5147,4903,10050
"53","Farrer Park",0,0,1,0,0,0,0,0,0,26443,29198,55641
"54","Farrer Road",0,0,0,1,0,0,0,0,0,5893,5887,11780
"55","Fernvale",0,0,0,0,0,0,1,0,0,8149,7488,15637
"56","Fort Canning",0,0,0,0,1,0,0,0,0,6714,7140,13854
"57","Gardens by the Bay",0,0,0,0,0,0,0,0,1,2644,3621,6265
"58","Geylang Bahru",0,0,0,0,1,0,0,0,0,6160,5793,11953
"59","Great World",0,0,0,0,0,0,0,0,1,9591,10180,19770
"60","Gul Circle",1,0,0,0,0,0,0,0,0,4923,4451,9374
"61","HarbourFront",0,0,1,1,0,0,0,0,0,46410,46124,92534
"62","Havelock",0,0,0,0,0,0,0,0,1,7991,7474,15465
"63","Haw Par Villa",0,0,0,1,0,0,0,0,0,7401,7026,14427
"64","Hillview",0,0,0,0,1,0,0,0,0,7434,6600,14033
"65","Holland Village",0,0,0,1,0,0,0,0,0,10193,10903,21096
"66","Hougang",0,0,1,0,0,0,0,0,0,33225,32389,65614
"67","Hume",0,0,0,0,1,0,0,0,0,2299,2313,4612
"68","Jalan Besar",0,0,0,0,1,0,0,0,0,9972,10776,20748
"69","Jelapang",0,0,0,0,0,0,0,1,0,3674,2877,6551
"70","Joo Koon",1,0,0,0,0,0,0,0,0,17787,18491,36278
"71","Jurong East",1,1,0,0,0,0,0,0,0,69384,70374,139759
"72","Kadaloor",0,0,0,0,0,1,0,0,0,6584,6025,12609
"73","Kaki Bukit",0,0,0,0,1,0,0,0,0,12742,12206,24948
"74","Kallang",1,0,0,0,0,0,0,0,0,11658,11949,23607
"75","Kangkar",0,0,0,0,0,0,1,0,0,3672,3553,7225
"76","Katong Park",0,0,0,0,0,0,0,0,1,3414,3381,6794
"77","Keat Hong",0,0,0,0,0,0,0,1,0,4989,4161,9150
"78","Kembangan",1,0,0,0,0,0,0,0,0,10905,12582,23488
