"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"1","Admiralty",0,1,0,0,0,0,0,0,0,181447,77916,259363
"2","Aljunied",1,0,0,0,0,0,0,0,0,85838,59625,145463
"3","Ang Mo Kio",0,1,0,0,0,0,0,0,0,180178,98700,278878
"4","Bakau",0,0,0,0,0,0,1,0,0,15776,2535,18311
"5","Bangkit",0,0,0,0,0,0,0,1,0,8301,5698,13999
"6","Bartley",0,0,0,1,0,0,0,0,0,44622,13175,57797
"7","Bayfront",0,0,0,1,1,0,0,0,0,18880,70413,89293
"8","Bayshore",0,0,0,0,0,0,0,0,1,24917,4092,29009
"9","Beauty World",0,0,0,0,1,0,0,0,0,70412,35350,105762
"10","Bedok",1,0,0,0,0,0,0,0,0,136951,60452,197403
"11","Bedok North",0,0,0,0,1,0,0,0,0,51473,15343,66816
"12","Bedok Reservoir",0,0,0,0,1,0,0,0,0,67551,9506,77057
"13","Bencoolen",0,0,0,0,1,0,0,0,0,19175,45054,64229
"14","Bendemeer",0,0,0,0,1,0,0,0,0,12524,41923,54447
"15","Bishan",0,1,0,1,0,0,0,0,0,191700,41212,232912
"16","Boon Keng",0,0,1,0,0,0,0,0,0,93012,88862,181874
"17","Boon Lay",1,0,0,0,0,0,0,0,0,148864,125677,274541
"18","Botanic Gardens",0,0,0,1,1,0,0,0,0,20935,24256,45191
"19","Braddell",0,1,0,0,0,0,0,0,0,68883,40823,109706
"20","Bras Basah",0,0,0,1,0,0,0,0,0,3985,32536,36521
"21","Bright Hill",0,0,0,0,0,0,0,0,1,27490,26491,53981
"22","Buangkok",0,0,1,0,0,0,0,0,0,135513,21795,157308
"23","Bugis",1,0,0,0,1,0,0,0,0,53721,244794,298515
"24","Bukit Batok",0,1,0,0,0,0,0,0,0,116079,63550,179629
"25","Bukit Gombak",0,1,0,0,0,0,0,0,0,91674,31458,123132
"26","Bukit Panjang",0,0,0,0,1,0,0,1,0,215604,87512,303116
"27","Buona Vista",1,0,0,1,0,0,0,0,0,51731,212933,264664
"28","Caldecott",0,0,0,1,0,0,0,0,1,39492,35301,74793
"29","Canberra",0,1,0,0,0,0,0,0,0,110133,32558,142691
"30","Cashew",0,0,0,0,1,0,0,0,0,13800,23410,37210
"31","Changi Airport",1,0,0,0,0,0,0,0,0,31861,62303,94164
"32","Cheng Lim",0,0,0,0,0,0,1,0,0,8460,12326,20786
"33","Chinatown",0,0,1,0,1,0,0,0,0,52317,169060,221377
"34","Chinese Garden",1,0,0,0,0,0,0,0,0,77873,19478,97351
"35","Choa Chu Kang",0,1,0,0,0,0,0,1,0,132082,64270,196352
"36","City Hall",1,1,0,0,0,0,0,0,0,23210,218487,241697
"37","Clarke Quay",0,0,1,0,0,0,0,0,0,10075,101234,111309
"38","Clementi",1,0,0,0,0,0,0,0,0,166592,158960,325552
"39","Commonwealth",1,0,0,0,0,0,0,0,0,52876,67463,120339
"40","Compassvale",0,0,0,0,0,0,1,0,0,20313,7933,28246
"41","Coral Edge",0,0,0,0,0,1,0,0,0,24023,16350,40373
"42","Cove",0,0,0,0,0,1,0,0,0,18142,3787,21929
"43","Dakota",0,0,0,1,0,0,0,0,0,25032,11599,36631
"44","Damai",0,0,0,0,0,1,0,0,0,16906,4469,21375
"45","Dhoby Ghaut",0,1,1,1,0,0,0,0,0,44031,111441,155472
"46","Dover",1,0,0,0,0,0,0,0,0,25464,98234,123698
"47","Downtown",0,0,0,0,1,0,0,0,0,9598,282128,291726
"48","Esplanade",0,0,0,1,0,0,0,0,0,3143,39903,43046
"49","Eunos",1,0,0,0,0,0,0,0,0,74149,38864,113013
"50","Expo",1,0,0,0,1,0,0,0,0,6475,151859,158334
"51","Fajar",0,0,0,0,0,0,0,1,0,12161,4494,16655
"52","Farmway",0,0,0,0,0,0,1,0,0,15709,7256,22965
"53","Farrer Park",0,0,1,0,0,0,0,0,0,66699,74675,141374
"54","Farrer Road",0,0,0,1,0,0,0,0,0,24064,12997,37061
"55","Fernvale",0,0,0,0,0,0,1,0,0,28206,9363,37569
"56","Fort Canning",0,0,0,0,1,0,0,0,0,21847,31581,53428
"57","Gardens by the Bay",0,0,0,0,0,0,0,0,1,974,5942,6916
"58","Geylang Bahru",0,0,0,0,1,0,0,0,0,29139,19979,49118
"59","Great World",0,0,0,0,0,0,0,0,1,32182,33393,65575
"60","Gul Circle",1,0,0,0,0,0,0,0,0,3387,28369,31756
"61","HarbourFront",0,0,1,1,0,0,0,0,0,54014,221735,275749
"62","Havelock",0,0,0,0,0,0,0,0,1,28709,26330,55039
"63","Haw Par Villa",0,0,0,1,0,0,0,0,0,21182,39639,60821
"64","Hillview",0,0,0,0,1,0,0,0,0,43961,8937,52898
"65","Holland Village",0,0,0,1,0,0,0,0,0,26941,28147,55088
