"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"1","Admiralty",0,1,0,0,0,0,0,0,0,31311,28898,60209
"2","Aljunied",1,0,0,0,0,0,0,0,0,21826,22202,44028
"3","Ang Mo Kio",0,1,0,0,0,0,0,0,0,34299,36856,71154
"4","Bakau",0,0,0,0,0,0,1,0,0,2441,2388,4829
"5","Bangkit",0,0,0,0,0,0,0,1,0,1992,1834,3826
"6","Bartley",0,0,0,1,0,0,0,0,0,5410,5036,10446
"7","Bayfront",0,0,0,1,1,0,0,0,0,42263,38532,80795
"8","Bayshore",0,0,0,0,0,0,0,0,1,2913,3027,5940
"9","Beauty World",0,0,0,0,1,0,0,0,0,14164,13709,27873
"10","Bedok",1,0,0,0,0,0,0,0,0,26720,26986,53706
"11","Bedok North",0,0,0,0,1,0,0,0,0,5744,5252,10996
"12","Bedok Reservoir",0,0,0,0,1,0,0,0,0,6586,6268,12853
"13","Bencoolen",0,0,0,0,1,0,0,0,0,7175,7261,14436
"14","Bendemeer",0,0,0,0,1,0,0,0,0,2738,2907,5645
"15","Bishan",0,1,0,1,0,0,0,0,0,23772,15596,39368
"16","Boon Keng",0,0,1,0,0,0,0,0,0,19528,17455,36984
"17","Boon Lay",1,0,0,0,0,0,0,0,0,38875,44040,82916
"18","Botanic Gardens",0,0,0,1,1,0,0,0,0,7033,7436,14469
"19","Braddell",0,1,0,0,0,0,0,0,0,11258,11061,22319
"20","Bras Basah",0,0,0,1,0,0,0,0,0,2926,3090,6016
"21","Bright Hill",0,0,0,0,0,0,0,0,1,4689,4606,9295
"22","Buangkok",0,0,1,0,0,0,0,0,0,17863,18312,36175
"23","Bugis",1,0,0,0,1,0,0,0,0,55649,57269,112918
"24","Bukit Batok",0,1,0,0,0,0,0,0,0,22209,23703,45912
"25","Bukit Gombak",0,1,0,0,0,0,0,0,0,16746,16292,33038
"26","Bukit Panjang",0,0,0,0,1,0,0,1,0,29607,30480,60087
"27","Buona Vista",1,0,0,1,0,0,0,0,0,15961,14930,30890
"28","Caldecott",0,0,0,1,0,0,0,0,1,4747,4647,9394
"29","Canberra",0,1,0,0,0,0,0,0,0,16665,15533,32197
"30","Cashew",0,0,0,0,1,0,0,0,0,2134,1765,3898
"31","Changi Airport",1,0,0,0,0,0,0,0,0,22782,20456,43239
"32","Cheng Lim",0,0,0,0,0,0,1,0,0,2181,2167,4348
"33","Chinatown",0,0,1,0,1,0,0,0,0,50531,50152,100683
"34","Chinese Garden",1,0,0,0,0,0,0,0,0,12787,12298,25085
"35","Choa Chu Kang",0,1,0,0,0,0,0,1,0,30144,32826,62970
"36","City Hall",1,1,0,0,0,0,0,0,0,53933,52759,106692
"37","Clarke Quay",0,0,1,0,0,0,0,0,0,10783,11826,22610
"38","Clementi",1,0,0,0,0,0,0,0,0,38787,39891,78678
"39","Commonwealth",1,0,0,0,0,0,0,0,0,9555,9712,19267
"40","Compassvale",0,0,0,0,0,0,1,0,0,3336,3330,6665
"41","Coral Edge",0,0,0,0,0,1,0,0,0,5101,5186,10286
"42","Cove",0,0,0,0,0,1,0,0,0,3012,2995,6007
"43","Dakota",0,0,0,1,0,0,0,0,0,4840,4671,9511
"44","Damai",0,0,0,0,0,1,0,0,0,3176,3126,6302
"45","Dhoby Ghaut",0,1,1,1,0,0,0,0,0,31753,30154,61906
"46","Dover",1,0,0,0,0,0,0,0,0,4866,5360,10225
"47","Downtown",0,0,0,0,1,0,0,0,0,3999,4277,8277
"48","Esplanade",0,0,0,1,0,0,0,0,0,7023,6560,13583
"49","Eunos",1,0,0,0,0,0,0,0,0,11767,12904,24671
"50","Expo",1,0,0,0,1,0,0,0,0,10538,10892,21430
"51","Fajar",0,0,0,0,0,0,0,1,0,2150,2281,4431
"52","Farmway",0,0,0,0,0,0,1,0,0,5066,4721,9787
"53","Farrer Park",0,0,1,0,0,0,0,0,0,33107,35354,68461
"54","Farrer Road",0,0,0,1,0,0,0,0,0,4006,4013,8019
"55","Fernvale",0,0,0,0,0,0,1,0,0,6569,6228,12797
"56","Fort Canning",0,0,0,0,1,0,0,0,0,5198,5758,10956
"57","Gardens by the Bay",0,0,0,0,0,0,0,0,1,5285,6858,12143
"58","Geylang Bahru",0,0,0,0,1,0,0,0,0,3846,3768,7613
"59","Great World",0,0,0,0,0,0,0,0,1,8064,8435,16499
"60","Gul Circle",1,0,0,0,0,0,0,0,0,2779,2443,5222
"61","HarbourFront",0,0,1,1,0,0,0,0,0,48925,47690,96615
"62","Havelock",0,0,0,0,0,0,0,0,1,6759,6590,13349
"63","Haw Par Villa",0,0,0,1,0,0,0,0,0,4657,4182,8838
"64","Hillview",0,0,0,0,1,0,0,0,0,5648,5045,10693
"65","Holland Village",0,0,0,1,0,0,0,0,0,8347,8512,16859
"66","Hougang",0,0,1,0,0,0,0,0,0,25463,24613,50076
"67","Hume",0,0,0,0,1,0,0,0,0,1787,1691,3478
"68","Jalan Besar",0,0,0,0,1,0,0,0,0,12266,13179,25445
"69","Jelapang",0,0,0,0,0,0,0,1,0,1918,1505,3422
"70","Joo Koon",1,0,0,0,0,0,0,0,0,10984,12067,23050
"71","Jurong East",1,1,0,0,0,0,0,0,0,60834,60041,120875
"72","Kadaloor",0,0,0,0,0,1,0,0,0,4646,4306,8952
"73","Kaki Bukit",0,0,0,0,1,0,0,0,0,8834,8530,17364
"74","Kallang",1,0,0,0,0,0,0,0,0,11606,12081,23687
