YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-01,WEEKDAY,10,TRAIN,CC7,4555,3179
2026-01,WEEKDAY,23,TRAIN,NS14,7220,21763
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,BP8,684,694
2026-01,WEEKDAY,21,TRAIN,NE11,13107,14978
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,CC7,1870,3743
2026-01,WEEKDAY,9,TRAIN,NS25/EW13,11818,103289
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,DT23,2212,2034
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,PE4,1166,1309
2026-01,WEEKDAY,18,TRAIN,TE15,20293,27688
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,TE7,283,1258
2026-01,WEEKDAY,19,TRAIN,EW33,6654,13176
2026-01,WEEKDAY,17,TRAIN,NS3,23442,43014
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,DT25,2628,1500
2026-01,WEEKDAY,14,TRAIN,EW12/DT14,62050,61965
2026-01,WEEKDAY,22,TRAIN,NS20,15125,8766
2026-01,WEEKDAY,14,TRAIN,DT34,3515,4960
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,TE26,1393,1145
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,NS24/NE6/CC1,25357,11930
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,NS27/CE2/TE20,1120,1893
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,BP7,284,528
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,NE10,1213,2892
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,EW1,5149,14300
2026-01,WEEKDAY,7,TRAIN,CC11,13878,61034
2026-01,WEEKDAY,13,TRAIN,CC20,8044,5352
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,DT21,836,1843
2026-01,WEEKDAY,22,TRAIN,NS23,47060,8781
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,DT23,938,463
2026-01,WEEKDAY,10,TRAIN,EW3,17968,10336
2026-01,WEEKDAY,19,TRAIN,NE10,21642,31978
2026-01,WEEKDAY,5,TRAIN,BP11,4426,309
2026-01,WEEKDAY,17,TRAIN,PE4,2395,2825
2026-01,WEEKENDS/HOLIDAY,5,TRAIN,SE4,326,43
2026-01,WEEKDAY,9,TRAIN,DT33,39545,6571
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,SW6,650,2144
2026-01,WEEKENDS/HOLIDAY,15,TRAIN,BP11,1469,1457
2026-01,WEEKDAY,8,TRAIN,CG1/DT35,3537,85017
2026-01,WEEKDAY,13,TRAIN,PE1,5168,4515
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,EW1,10435,7122
2026-01,WEEKDAY,11,TRAIN,DT17,29369,15734
2026-01,WEEKENDS/HOLIDAY,12,TRAIN,EW3,10403,7599
2026-01,WEEKENDS/HOLIDAY,21,TRAIN,PW1,835,202
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,NS9/TE2,1467,4390
2026-01,WEEKDAY,14,TRAIN,DT30,8116,6952
2026-01,WEEKDAY,11,TRAIN,NS15,17224,16437
2026-01,WEEKENDS/HOLIDAY,18,TRAIN,PW4,2720,3270
2026-01,WEEKDAY,13,TRAIN,DT30,7636,6380
2026-01,WEEKDAY,9,TRAIN,EW3,25834,12224
2026-01,WEEKENDS/HOLIDAY,19,TRAIN,CC23,2284,1551
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,EW4,9350,8422
2026-01,WEEKDAY,19,TRAIN,EW26,28509,81867
2026-01,WEEKENDS/HOLIDAY,23,TRAIN,TE27,373,1532
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,NE17/PTC,9353,16103
2026-01,WEEKDAY,15,TRAIN,BP13,983,1377
2026-01,WEEKENDS/HOLIDAY,11,TRAIN,BP11,2304,1111
2026-01,WEEKDAY,14,TRAIN,CC24,25241,24808
2026-01,WEEKENDS/HOLIDAY,17,TRAIN,CC14,3787,3125
2026-01,WEEKDAY,23,TRAIN,BP4,186,562
2026-01,WEEKDAY,14,TRAIN,PW7,3804,4017
2026-01,WEEKENDS/HOLIDAY,7,TRAIN,NE7/DT12,7813,8643
2026-01,WEEKDAY,10,TRAIN,BP9,3332,1940
2026-01,WEEKDAY,17,TRAIN,EW19,34205,31047
2026-01,WEEKDAY,14,TRAIN,NS7,15230,13782
2026-01,WEEKDAY,7,TRAIN,CC8,13152,17186
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,TE16,2631,4277
2026-01,WEEKENDS/HOLIDAY,15,TRAIN,BP8,722,801
2026-01,WEEKENDS/HOLIDAY,20,TRAIN,TE26,8700,4591
2026-01,WEEKDAY,6,TRAIN,DT3,8381,1501
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,BP8,447,293
2026-01,WEEKENDS/HOLIDAY,14,TRAIN,SE5,1402,1386
2026-01,WEEKDAY,16,TRAIN,BP6/DT1,31565,47491
2026-01,WEEKDAY,13,TRAIN,EW20,12583,12152
2026-01,WEEKDAY,12,TRAIN,EW16/NE3/TE17,49880,38966
2026-01,WEEKDAY,18,TRAIN,PW2,321,306
2026-01,WEEKENDS/HOLIDAY,8,TRAIN,NE7/DT12,7483,13866
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,CC28,484,2033
2026-01,WEEKDAY,22,TRAIN,DT13,7440,7825
2026-01,WEEKDAY,12,TRAIN,DT10,4228,2616
2026-01,WEEKDAY,8,TRAIN,EW19,60768,29114
2026-01,WEEKDAY,6,TRAIN,NE1/CC29,7850,28698
2026-01,WEEKDAY,7,TRAIN,CC16,16026,26229
2026-01,WEEKDAY,12,TRAIN,TE3,15026,10880
2026-01,WEEKENDS/HOLIDAY,0,TRAIN,DT34,2,475
2026-01,WEEKENDS/HOLIDAY,10,TRAIN,DT8,2447,1904
2026-01,WEEKDAY,13,TRAIN,EW14/NS26,45700,87647
2026-01,WEEKDAY,8,TRAIN,NS7,50175,44872
2026-01,WEEKENDS/HOLIDAY,22,TRAIN,DT2,350,780
2026-01,WEEKDAY,12,TRAIN,CC11,14994,12507
2026-01,WEEKDAY,9,TRAIN,TE6,23623,5626
2026-01,WEEKENDS/HOLIDAY,6,TRAIN,TE28,595,128
